timepoint,well,plant,date,target,exp_group,target_ct,18S_ct,dct
3,A08,12,8_1,DI72,TBSV,30.94,17.41,13.53
1,A11,22,3_23,DI73,TBSV,30.96,13.225,17.735
1,E03,47,8_10,DI73,TBSV_DI72,31.035,14.92,16.115
1,A07,12,4_9,DI72,TBSV,31.105,18.095,13.01
1,E12,10,8_1,DI73,TBSV_DI72,31.33,18.7,12.63
3,C10,19,3_23,DI72,TBSV,31.385,18.755,12.63
2,C12,17,8_1,DI73,TBSV_DI72,31.57,18.175,13.395
3,C06,23,8_10,DI73,TBSV,31.655,35.44,-3.785
2,C12,52,8_10,DI73,TBSV_DI72,31.765,15.865,15.9
3,E03,5,4_9,DI72,TBSV,31.93,18.66,13.27
1,E09,39,8_1,DI73,TBSV_DI72,32.085,12.1005,19.9845
2,C11,3,3_23,DI73,TBSV,32.125,17.56,14.565
1,C02,43,8_10,DI72,TBSV,32.475,18.09,14.385
3,C11,21,8_10,DI72,TBSV_DI72,32.53,17.095,15.435
3,G09,7,8_10,DI73,TBSV_DI73,32.72,22.09,10.63
3,H06,40,8_10,DI73,TBSV_DI73,32.89,18.44,14.45
3,E02,36,8_10,DI72,TBSV_DI72,33.095,19.695,13.4
1,E06,13,8_1,DI73,TBSV_DI72,33.41,17.215,16.195
2,A09,10,8_10,DI73,TBSV,34.115,18.91,15.205
3,C12,3,8_1,DI73,TBSV_DI72,34.355,20.01,14.345
3,E03,27,8_1,DI73,TBSV_DI73,34.505,19.985,14.52
3,E06,15,8_10,DI73,TBSV_DI72,34.825,24.22,10.605
2,E12,41,8_1,DI73,TBSV_DI72,35.74,17.255,18.485
3,C03,32,8_10,DI73,TBSV,35.825,24.265,11.56
2,C08,12,3_23,DI73,TBSV,36.78,17.195,19.585
1,C09,22,8_10,DI73,TBSV,37.01,25.565,11.445
2,E06,49,8_10,DI73,TBSV_DI72,37.185,18.43,18.755
2,A12,26,8_10,DI73,TBSV,38.78,10.695,28.085
3,A09,24,8_10,DI73,TBSV,38.8,17.41,21.39
2,G09,37,8_1,DI73,TBSV_DI73,39,18.075,20.925
3,G03,34,8_10,DI73,TBSV_DI73,39.62,24.14,15.48
2,C06,42,8_10,DI73,TBSV,41.115,17.175,23.94
3,G03,50,8_1,DI73,TBSV_DI73,42.465,10.66,31.805
3,E04,49,8_1,TBSV,TBSV_DI73,13.1005,15.31,-2.2095
1,C02,18,8_1,DI72,TBSV,16.1005,13.99,2.1105
