timepoint,well,plant,date,target,exp_group,target_ct,18S_ct,dct,ddct,dct_ratio,ddct_ratio
3,G06,na,unk,DI72,neg_plt,28.655,18.73,9.925,-7.510046296,0.115959808,-0.178357654
3,G05,12,11_27,DI72,neg_plt,34.155,24.81,9.345,-8.090046296,0.116907487,-0.221938996
2,C10,3,3_23,DI72,TBSV,17.1005,17.775,-0.6745,-52.4615,0.118959436,12.31779761
3,G11,14,11_27,DI72,neg_plt,30.355,20.315,10.04,-7.395046296,0.121387982,-0.188520895
1,C05,4,11_27,DI72,neg_plt,30.92,20.32,10.6,-6.835046296,0.127980682,-0.173735555
3,G08,13,11_27,DI72,neg_plt,31.265,20.545,10.72,-6.715046296,0.12986069,-0.171886851
4,E12,35,8_1,DI73,rcvrd_leaf,30.94,11.41,19.53,-58.4958642,0.143113159,0.695576241
3,E02,27,8_1,DI72,TBSV_DI73,16.76,16.665,0.095,-51.692,0.153225806,-25.45150172
3,E02,36,8_10,DI72,TBSV_DI72,33.095,19.695,13.4,-38.387,0.161445783,-0.454763005
4,E09,38,8_1,DI73,rcvrd_leaf,33.65,8.72,24.93,-53.0958642,0.161652627,0.743058502
2,C12,6,11_27,DI73,neg_plt,100,20.605,79.395,1.369135802,0.168083632,-22.01266908
1,E03,47,8_10,DI73,TBSV_DI72,31.035,14.92,16.115,-55.04,0.168166305,-0.07487282
2,G11,37,8_10,DI72,neg_plt,29.61,14.88,14.73,-2.705046296,0.168960771,-0.061905095
3,H11,37,8_10,DI72,neg_plt,30.06,15.21,14.85,-2.585046296,0.170181068,-0.05905078
3,G05,29,8_1,DI72,TBSV_DI73,17.23,17.625,-0.395,-52.182,0.174778761,61.46289753
1,A11,33,4_9,DI73,TBSV,29.08,13.195,15.885,-55.27,0.180358829,-0.077365659
3,C11,21,8_10,DI72,TBSV_DI72,32.53,17.095,15.435,-36.352,0.189189189,-0.437997012
3,E05,19,3_23,DI72,TBSV_DI72,16.58,16.64,-0.06,-51.847,0.214285714,-45.84173298
1,E08,17,8_10,DI72,TBSV_DI72,17.565,18,-0.435,-52.222,0.218045113,89.42123288
1,C05,50,8_10,DI72,TBSV,13.605,12.41,1.195,-50.592,0.218664227,-7.357766143
3,G11,4,8_10,DI72,neg_plt,33.04,14.3,18.74,1.304953704,0.22301559,0.032183995
2,C02,53,8_10,DI72,TBSV,29.47,30.38,-0.91,-52.697,0.223312883,19.78115616
1,A11,14,8_1,DI72,TBSV,16.005,17.055,-1.05,-52.837,0.235690236,17.35775296
4,G03,5,8_1,DI73,rcvrd_leaf,30.505,8.395,22.11,-55.9158642,0.242424242,0.68179816
3,C08,6,4_9,DI72,TBSV_DI73,19.365,20.935,-1.57,-53.357,0.246467818,10.75962896
2,G02,na,1_3,DI72,neg_plt,30.36,18.08,12.28,-5.155046296,0.250152781,-0.919449399
1,A08,38,8_10,DI72,TBSV_DI73,17.205,19.01,-1.805,-53.592,0.250868659,9.265560166
4,G02,5,8_1,DI72,rcvrd_leaf,12.835,11.325,1.51,-15.9250463,0.281716418,0.417724394
