timepoint,well,plant,date,target,exp_group,target_ct,18S_ct,dct,dct_ratio,phenotype,recovery
3,E11,18,8_10,DI72,TBSV_DI72,17.605,19.1005,-1.4955,-0.427896996,3.5,N
3,G03,34,8_10,DI73,TBSV_DI73,39.62,24.14,15.48,-0.377260982,4,N
3,H06,40,8_10,DI73,TBSV_DI73,32.89,18.44,14.45,-0.247058824,3,N
3,E08,35,8_10,DI72,TBSV_DI72,18.44,20.085,-1.645,-0.22006689,1,N
3,C09,33,8_10,DI73,TBSV_DI73,100,21.71,78.29,-0.202707881,4,N
3,C12,1,8_10,DI73,TBSV_DI73,100,22.85,77.15,-0.089500972,4,N
3,A12,46,8_10,DI73,TBSV,100,19.92,80.08,-0.062687313,3.5,N
3,G06,29,8_10,DI73,TBSV_DI73,100,100,0,0,4,N
3,E09,35,8_10,DI73,TBSV_DI72,100,17.1,82.9,0.090168878,1,N
3,E02,36,8_10,DI72,TBSV_DI72,33.095,19.695,13.4,0.161445783,1,N
3,C11,21,8_10,DI72,TBSV_DI72,32.53,17.095,15.435,0.189189189,1,N
3,A11,46,8_10,DI72,TBSV,30.325,33.31,-2.985,0.594621514,3.5,N
3,E05,15,8_10,DI72,TBSV_DI72,18.27,22.91,-4.64,0.882129278,3.5,Y
3,C12,21,8_10,DI73,TBSV_DI72,100,16.03,83.97,0.971596999,1,N
3,E03,36,8_10,DI73,TBSV_DI72,100,17.695,82.305,1.008444201,1,N
3,H08,16,8_10,DI72,TBSV_DI73,15.62,20.11,-4.49,1.063981043,3,N
3,H05,40,8_10,DI72,TBSV_DI73,16.46,21.16,-4.7,1.316526611,3,N
3,C06,23,8_10,DI73,TBSV,31.655,35.44,-3.785,2.184940555,4,N
3,G05,29,8_10,DI72,TBSV_DI73,27.22,40.1,-12.88,2.830769231,4,N
3,C02,32,8_10,DI72,TBSV,29.495,100,-70.505,7.773428886,4,N
3,C05,23,8_10,DI72,TBSV,16.74,100,-83.26,10.06771463,4,N
3,C08,13,8_10,DI72,TBSV,16.64,100,-83.36,11.74084507,4,N
3,G02,34,8_10,DI72,TBSV_DI73,17.75,100,-82.25,14.08390411,4,N
3,E12,18,8_10,DI73,TBSV_DI72,100,17.675,82.325,23.55507868,3.5,N
