timepoint,well,plant,date,target,exp_group,target_ct,18S_ct,dct,dct_ratio,method
1,E08,17,8_10,DI72,TBSV_DI72,17.565,18,-0.435,0.218045113,agro
1,C05,50,8_10,DI72,TBSV,13.605,12.41,1.195,0.218664227,agro
3,G11,4,8_10,DI72,neg_plt,33.04,14.3,18.74,0.22301559,agro
2,C02,53,8_10,DI72,TBSV,29.47,30.38,-0.91,0.223312883,agro
1,A11,14,8_1,DI72,TBSV,16.005,17.055,-1.05,0.235690236,agro
4,G03,5,8_1,DI73,rcvrd_leaf,30.505,8.395,22.11,0.242424242,agro
3,C08,6,4_9,DI72,TBSV_DI73,19.365,20.935,-1.57,0.246467818,agro
2,G02,na,1_3,DI72,neg_plt,30.36,18.08,12.28,0.250152781,agro
1,A08,38,8_10,DI72,TBSV_DI73,17.205,19.01,-1.805,0.250868659,agro
4,G02,5,8_1,DI72,rcvrd_leaf,12.835,11.325,1.51,0.281716418,agro
2,E11,31,8_10,DI72,TBSV_DI72,16.78,13.99,2.79,0.282103134,agro
1,C06,50,8_10,DI73,TBSV,29.365,11.065,18.3,0.29863388,agro
4,G05,18,8_1,DI72,rcvrd_leaf,14.72,13.495,1.225,0.300613497,agro
3,A05,na,3_23,DI72,neg_ctrl,33.24,13.48666667,19.75333333,0.321401453,agro
2,C02,19,8_1,DI72,TBSV,16.23,14.97,1.26,0.333333333,agro
3,A11,40,8_1,DI72,TBSV,18.135,16.305,1.83,0.340465116,agro
1,A03,35,8_1,DI73,TBSV_DI73,24.11,8.26,15.85,0.358044164,agro
1,A09,8,8_1,DI73,TBSV_DI73,25.59333333,36.46,-10.86666667,0.366871166,agro
1,G08,16,8_1,DI72,TBSV_DI73,17.865,18.91,-1.045,0.409001957,agro
1,A02,na,3_23,DI72,pos_ctrl,27.71333333,23.70333333,4.01,0.418289291,agro
1,A08,8,8_1,DI72,TBSV_DI73,15.50333333,17.17666667,-1.673333333,0.419732441,agro
2,C05,42,8_10,DI72,TBSV,27.73,29.87,-2.14,0.432760364,agro
2,E02,7,8_1,DI72,TBSV_DI72,15.84,15.63,0.21,0.432989691,agro
1,E11,27,8_10,DI72,TBSV_DI72,17.64,12.835,4.805,0.434056007,agro
